Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,1,172,3,Some Random Commen with Id 0
1,0,1,165,9,Some Random Commen with Id 1
2,0,1,97,8,Some Random Commen with Id 2
3,0,1,81,4,Some Random Commen with Id 3
4,1,1,157,3,Some Random Commen with Id 4
5,1,1,170,4,Some Random Commen with Id 5
6,1,1,188,7,Some Random Commen with Id 6
7,1,1,20,6,Some Random Commen with Id 7
8,1,1,78,7,Some Random Commen with Id 8
9,1,1,145,8,Some Random Commen with Id 9
10,1,1,99,6,Some Random Commen with Id 10
11,2,1,104,8,Some Random Commen with Id 11
12,2,1,123,7,Some Random Commen with Id 12
13,3,2,45,9,Some Random Commen with Id 13
14,3,2,0,1,Some Random Commen with Id 14
15,3,2,44,6,Some Random Commen with Id 15
16,3,2,21,3,Some Random Commen with Id 16
17,3,2,123,9,Some Random Commen with Id 17
18,3,2,34,2,Some Random Commen with Id 18
19,4,2,114,3,Some Random Commen with Id 19
20,4,2,24,1,Some Random Commen with Id 20
21,4,2,71,0,Some Random Commen with Id 21
22,4,2,90,5,Some Random Commen with Id 22
23,4,2,115,0,Some Random Commen with Id 23
24,4,2,175,5,Some Random Commen with Id 24
25,4,2,33,3,Some Random Commen with Id 25
26,4,2,116,0,Some Random Commen with Id 26
27,5,7,117,0,Some Random Commen with Id 27
28,5,7,154,5,Some Random Commen with Id 28
29,5,7,155,1,Some Random Commen with Id 29
30,6,1,65,3,Some Random Commen with Id 30
31,6,1,136,2,Some Random Commen with Id 31
32,6,1,158,3,Some Random Commen with Id 32
33,6,1,115,6,Some Random Commen with Id 33
34,6,1,5,7,Some Random Commen with Id 34
35,6,1,107,3,Some Random Commen with Id 35
36,6,1,183,7,Some Random Commen with Id 36
37,6,1,53,8,Some Random Commen with Id 37
38,7,0,149,4,Some Random Commen with Id 38
39,9,4,120,6,Some Random Commen with Id 39
40,9,4,40,0,Some Random Commen with Id 40
41,9,4,128,9,Some Random Commen with Id 41
42,9,4,170,0,Some Random Commen with Id 42
43,9,4,115,1,Some Random Commen with Id 43
44,9,4,99,0,Some Random Commen with Id 44
45,9,4,118,7,Some Random Commen with Id 45
46,10,2,54,4,Some Random Commen with Id 46
47,10,2,109,3,Some Random Commen with Id 47
48,10,2,198,0,Some Random Commen with Id 48
49,10,2,182,6,Some Random Commen with Id 49
50,11,6,112,0,Some Random Commen with Id 50
51,11,6,69,9,Some Random Commen with Id 51
52,11,6,69,8,Some Random Commen with Id 52
53,11,6,49,0,Some Random Commen with Id 53
54,11,6,31,4,Some Random Commen with Id 54
55,11,6,81,6,Some Random Commen with Id 55
56,11,6,124,9,Some Random Commen with Id 56
57,12,7,39,2,Some Random Commen with Id 57
58,12,7,2,5,Some Random Commen with Id 58
59,12,7,64,3,Some Random Commen with Id 59
60,12,7,104,5,Some Random Commen with Id 60
61,12,7,113,9,Some Random Commen with Id 61
62,12,7,146,9,Some Random Commen with Id 62
63,12,7,33,7,Some Random Commen with Id 63
64,13,9,14,6,Some Random Commen with Id 64
65,13,9,141,8,Some Random Commen with Id 65
66,13,9,123,3,Some Random Commen with Id 66
67,13,9,101,2,Some Random Commen with Id 67
68,13,9,193,4,Some Random Commen with Id 68
69,13,9,89,2,Some Random Commen with Id 69
70,13,9,98,4,Some Random Commen with Id 70
71,13,9,114,9,Some Random Commen with Id 71
72,14,2,7,7,Some Random Commen with Id 72
73,15,6,199,4,Some Random Commen with Id 73
74,15,6,11,2,Some Random Commen with Id 74
75,15,6,39,0,Some Random Commen with Id 75
76,15,6,171,7,Some Random Commen with Id 76
77,15,6,71,6,Some Random Commen with Id 77
78,16,5,167,8,Some Random Commen with Id 78
79,16,5,152,0,Some Random Commen with Id 79
80,17,8,36,3,Some Random Commen with Id 80
81,17,8,173,6,Some Random Commen with Id 81
82,17,8,72,9,Some Random Commen with Id 82
83,17,8,79,2,Some Random Commen with Id 83
84,17,8,162,4,Some Random Commen with Id 84
85,17,8,120,8,Some Random Commen with Id 85
86,18,1,55,5,Some Random Commen with Id 86
87,18,1,7,6,Some Random Commen with Id 87
88,18,1,106,3,Some Random Commen with Id 88
89,19,9,122,5,Some Random Commen with Id 89
90,19,9,3,5,Some Random Commen with Id 90
91,19,9,32,8,Some Random Commen with Id 91
92,19,9,72,7,Some Random Commen with Id 92
93,19,9,125,3,Some Random Commen with Id 93
94,19,9,146,1,Some Random Commen with Id 94
95,19,9,96,6,Some Random Commen with Id 95
96,19,9,99,2,Some Random Commen with Id 96
97,20,6,154,1,Some Random Commen with Id 97
98,20,6,33,9,Some Random Commen with Id 98
99,20,6,62,9,Some Random Commen with Id 99
100,21,0,185,0,Some Random Commen with Id 100
101,22,6,10,8,Some Random Commen with Id 101
102,22,6,58,5,Some Random Commen with Id 102
103,22,6,58,0,Some Random Commen with Id 103
104,22,6,171,8,Some Random Commen with Id 104
105,22,6,57,4,Some Random Commen with Id 105
106,23,2,137,9,Some Random Commen with Id 106
107,23,2,134,2,Some Random Commen with Id 107
108,23,2,175,5,Some Random Commen with Id 108
109,23,2,129,8,Some Random Commen with Id 109
110,23,2,178,1,Some Random Commen with Id 110
111,23,2,166,2,Some Random Commen with Id 111
112,23,2,12,3,Some Random Commen with Id 112
113,24,5,5,3,Some Random Commen with Id 113
114,24,5,143,3,Some Random Commen with Id 114
115,24,5,151,7,Some Random Commen with Id 115
116,24,5,149,7,Some Random Commen with Id 116
117,24,5,117,0,Some Random Commen with Id 117
118,24,5,68,1,Some Random Commen with Id 118
119,24,5,116,5,Some Random Commen with Id 119
120,24,5,65,2,Some Random Commen with Id 120
121,25,1,195,3,Some Random Commen with Id 121
122,26,5,102,3,Some Random Commen with Id 122
123,26,5,63,8,Some Random Commen with Id 123
124,26,5,92,3,Some Random Commen with Id 124
125,27,7,35,6,Some Random Commen with Id 125
126,27,7,143,3,Some Random Commen with Id 126
127,27,7,58,0,Some Random Commen with Id 127
128,27,7,59,6,Some Random Commen with Id 128
129,29,2,191,8,Some Random Commen with Id 129
130,29,2,63,5,Some Random Commen with Id 130
131,31,0,36,4,Some Random Commen with Id 131
132,31,0,0,6,Some Random Commen with Id 132
133,31,0,178,0,Some Random Commen with Id 133
134,31,0,197,0,Some Random Commen with Id 134
135,31,0,46,6,Some Random Commen with Id 135
136,31,0,163,3,Some Random Commen with Id 136
137,31,0,38,9,Some Random Commen with Id 137
138,31,0,155,1,Some Random Commen with Id 138
139,31,0,89,1,Some Random Commen with Id 139
140,32,5,54,1,Some Random Commen with Id 140
141,32,5,114,4,Some Random Commen with Id 141
142,32,5,113,9,Some Random Commen with Id 142
143,32,5,134,1,Some Random Commen with Id 143
144,32,5,48,9,Some Random Commen with Id 144
145,32,5,60,8,Some Random Commen with Id 145
146,32,5,171,0,Some Random Commen with Id 146
147,32,5,125,2,Some Random Commen with Id 147
148,32,5,42,1,Some Random Commen with Id 148
149,34,6,197,8,Some Random Commen with Id 149
150,34,6,189,8,Some Random Commen with Id 150
151,34,6,62,5,Some Random Commen with Id 151
152,34,6,114,2,Some Random Commen with Id 152
153,34,6,190,8,Some Random Commen with Id 153
154,34,6,78,8,Some Random Commen with Id 154
155,34,6,21,7,Some Random Commen with Id 155
156,34,6,45,9,Some Random Commen with Id 156
157,34,6,196,3,Some Random Commen with Id 157
158,35,3,179,9,Some Random Commen with Id 158
159,35,3,111,6,Some Random Commen with Id 159
160,36,9,178,3,Some Random Commen with Id 160
161,37,5,167,4,Some Random Commen with Id 161
162,37,5,160,2,Some Random Commen with Id 162
163,37,5,198,4,Some Random Commen with Id 163
164,37,5,138,1,Some Random Commen with Id 164
165,37,5,193,1,Some Random Commen with Id 165
166,38,2,159,3,Some Random Commen with Id 166
167,38,2,108,2,Some Random Commen with Id 167
168,38,2,103,4,Some Random Commen with Id 168
169,38,2,126,6,Some Random Commen with Id 169
170,38,2,50,0,Some Random Commen with Id 170
171,38,2,22,6,Some Random Commen with Id 171
172,38,2,169,2,Some Random Commen with Id 172
173,39,3,117,0,Some Random Commen with Id 173
174,39,3,142,5,Some Random Commen with Id 174
175,39,3,102,9,Some Random Commen with Id 175
